,Denoised_x_Image,Final_Denoised_x_Image,Maxflow,x_Image
0,"[[1], [1]]","[[0], [1]]",0.980829253012,"[[0], [-1]]"
1,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",1.96165850602,"[[0, -1], [-1, 1], [2, 3]]"
2,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",1.55619339792,"[[0, -1, -1], [1, 1, -1], [2, 3, -1]]"
3,"[[1, 1, 1], [1, 1, 1]]","[[0, 0, 0], [1, 1, 1]]",2.53702265093,"[[-1, 0, -1, -1], [1, 1, 1, -1], [1, 2, 3, -1]]"
4,"[[1, 1, 1, 1], [1, 1, 1, 1]]","[[0, 0, 0, 0], [1, 1, 1, 1]]",4.61646419261,"[[-1, -1, 0, -1, -1], [0, 1, 1, 1, -1], [0, 1, 2, 3, -1]]"
5,"[[0, 1, 1, 1], [0, 1, 1, 1]]","[[1, 0, 0, 0], [0, 1, 1, 1]]",4.31238679583,"[[1, -1, 0, -1, -1, -1], [0, 1, 1, 1, -1, -1], [0, 1, 2, 3, -1, -1]]"
6,"[[0, 1, 1, 1], [0, 0, 1, 1]]","[[1, 0, 0, 0], [0, 0, 1, 1]]",4.50692168772,"[[1, 0, 0, -1, -1, -1, -1], [0, 0, 1, 1, -1, -1, -1], [0, 1, 2, 3, -1, -1, -1]]"
7,"[[0, 0, 1, 1, 1], [0, 0, 0, 1, 1]]","[[1, 1, 0, 0, 0], [0, 0, 0, 1, 1]]",5.48775094073,"[[1, -1, 0, 0, -1, -1, -1, -1], [0, 0, 0, 1, 1, -1, -1, -1], [0, 0, 1, 2, 3, -1, -1, -1]]"
8,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1]]","[[1, 1, 1, 0, 0, 0], [0, 0, 0, 1, 1, 1]]",5.86858019375,"[[1, -1, 1, -1, 0, -1, -1, -1, -1], [0, 0, 0, 1, 1, 1, -1, -1, -1], [0, 0, 1, 1, 2, 3, -1, -1, -1]]"
9,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1]]","[[1, 1, 1, 0, 0, 0], [0, 0, 0, 1, 1, 1]]",5.46311508564,"[[1, 1, 1, -1, 0, -1, -1, -1, -1, -1], [0, 0, 0, 1, 1, 1, -1, -1, -1, -1], [0, 0, 1, 1, 2, 3, -1, -1, -1, -1]]"
10,"[[0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 1, 1]]","[[1, 1, 1, 1, 0, 0], [0, 0, 0, 1, 1, 1]]",5.65764997753,"[[1, 1, 1, 1, 0, -1, -1, -1, -1, -1, -1], [0, 0, 0, 1, 1, 1, -1, -1, -1, -1, -1], [0, 0, 1, 1, 2, 3, -1, -1, -1, -1, -1]]"
11,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1]]","[[1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 1, 1, 1, 1]]",6.63847923054,"[[1, 1, 1, 1, 0, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 1, 1, 1, 1, -1, -1, -1, -1, -1], [0, 0, 1, 1, 2, 2, 3, -1, -1, -1, -1, -1]]"
12,"[[0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1, 1]]","[[1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 1, 1, 1, 1]]",8.11792077222,"[[1, 1, 1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 1, 0, 1, 1, 1, -1, -1, -1, -1, -1], [0, 0, 1, 1, 1, 2, 2, 3, -1, -1, -1, -1, -1]]"
13,"[[0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1, 1]]","[[1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 1, 1, 1, 1]]",7.71245566411,"[[1, 1, 1, 0, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 1, 0, 1, 1, 1, -1, -1, -1, -1, -1, -1], [0, 0, 1, 1, 1, 2, 2, 3, -1, -1, -1, -1, -1, -1]]"
14,"[[0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1, 1]]","[[1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1]]",7.906990556,"[[1, 1, 1, 0, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 1, 1, 1, 2, 2, 3, -1, -1, -1, -1, -1, -1, -1]]"
15,"[[0, 0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1, 1, 1]]","[[1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 1, 1]]",9.98643209768,"[[0, 1, -1, 1, 0, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 0, 0, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1], [0, 0, 0, 1, 1, 1, 2, 2, 3, -1, -1, -1, -1, -1, -1, -1]]"
