,Action,Error,New_x_State,Previous_x_State,User_Response
0,east,1,3,2,0
1,west,0,2,3,1
2,west,1,1,2,1
3,west,1,0,1,1
4,west,1,0,0,0
5,east,0,1,0,1
6,west,0,0,1,0
7,east,0,1,0,1
8,west,0,0,1,0
9,east,0,1,0,1
10,east,0,2,1,1
11,west,1,1,2,1
12,east,1,2,1,0
13,west,1,1,2,1
14,west,0,0,1,0
15,east,1,1,0,0
16,west,0,0,1,0
17,east,1,1,0,0
18,west,1,0,1,1
19,east,0,1,0,1
20,east,1,2,1,0
21,west,1,1,2,1
22,west,1,0,1,1
23,east,0,1,0,1
24,west,0,0,1,0
25,east,0,1,0,1
26,west,1,0,1,1
27,east,1,1,0,0
28,west,0,0,1,0
29,east,1,1,0,0
30,west,0,0,1,0
31,east,0,1,0,1
32,east,1,2,1,0
33,west,0,1,2,0
34,west,0,0,1,0
35,east,1,1,0,0
36,west,1,0,1,1
37,east,0,1,0,1
38,west,0,0,1,0
39,east,0,1,0,1
40,east,1,2,1,0
41,west,1,1,2,1
42,west,1,0,1,1
43,east,0,1,0,1
44,west,0,0,1,0
45,east,0,1,0,1
46,east,0,2,1,1
47,west,1,1,2,1
48,east,0,2,1,1
49,west,0,1,2,0
50,east,0,2,1,1
51,west,1,1,2,1
52,east,0,2,1,1
53,west,1,1,2,1
54,east,0,2,1,1
55,west,1,1,2,1
56,east,1,2,1,0
57,west,1,1,2,1
58,east,0,2,1,1
59,west,1,1,2,1
60,east,0,2,1,1
61,west,1,1,2,1
62,east,1,2,1,0
63,west,0,1,2,0
64,east,1,2,1,0
65,west,1,1,2,1
66,west,1,0,1,1
67,east,0,1,0,1
68,west,0,0,1,0
69,east,1,1,0,0
70,west,0,0,1,0
71,east,1,1,0,0
72,west,0,0,1,0
73,east,0,1,0,1
74,east,0,2,1,1
75,west,0,1,2,0
76,east,0,2,1,1
77,west,0,1,2,0
78,east,0,2,1,1
79,west,1,1,2,1
80,east,0,2,1,1
81,west,0,1,2,0
82,east,1,2,1,0
83,west,0,1,2,0
84,east,0,2,1,1
85,west,1,1,2,1
86,east,0,2,1,1
87,west,1,1,2,1
88,east,0,2,1,1
89,west,0,1,2,0
90,east,1,2,1,0
91,west,0,1,2,0
92,east,0,2,1,1
93,west,1,1,2,1
94,east,0,2,1,1
95,west,1,1,2,1
96,east,0,2,1,1
97,west,1,1,2,1
98,east,0,2,1,1
99,west,0,1,2,0
100,east,0,2,1,1
101,west,0,1,2,0
102,east,1,2,1,0
103,west,0,1,2,0
104,east,0,2,1,1
105,east,0,3,2,0
106,west,0,2,3,1
107,west,0,1,2,0
