,Action,Error,New_y_State,Previous_y_State,User_Response
0,north,1,1,2,1
1,north,1,0,1,1
2,north,1,0,0,1
3,north,1,0,0,0
4,south,1,1,0,0
5,north,0,0,1,0
6,north,1,0,0,0
7,south,0,1,0,1
8,north,1,0,1,1
9,south,1,1,0,0
10,north,0,0,1,0
11,south,1,1,0,0
12,north,0,0,1,0
13,south,1,1,0,0
14,north,1,0,1,1
15,south,1,1,0,0
16,north,1,0,1,1
17,south,0,1,0,1
18,north,0,0,1,0
19,south,0,1,0,1
20,north,0,0,1,0
21,south,1,1,0,0
22,north,1,0,1,1
23,south,1,1,0,0
24,north,0,0,1,0
25,south,1,1,0,0
26,north,1,0,1,1
27,south,0,1,0,1
28,north,1,0,1,1
29,south,0,1,0,1
30,north,1,0,1,1
31,south,1,1,0,0
32,north,0,0,1,0
33,south,0,1,0,1
34,north,0,0,1,0
35,south,0,1,0,1
36,north,0,0,1,0
37,south,1,1,0,0
38,north,1,0,1,1
39,south,1,1,0,0
40,north,0,0,1,0
41,south,1,1,0,0
42,north,0,0,1,0
43,south,0,1,0,1
44,north,0,0,1,0
45,south,1,1,0,0
46,north,0,0,1,0
47,south,1,1,0,0
48,north,0,0,1,0
49,south,0,1,0,1
50,north,0,0,1,0
51,south,0,1,0,1
52,south,0,2,1,1
53,north,0,1,2,0
54,north,0,0,1,0
55,south,0,1,0,1
56,south,0,2,1,1
57,north,1,1,2,1
58,north,1,0,1,1
59,south,0,1,0,1
60,north,0,0,1,0
61,south,0,1,0,1
62,south,0,2,1,1
63,north,0,1,2,0
64,south,1,2,1,0
65,south,0,3,2,0
66,north,0,2,3,1
67,south,1,3,2,1
68,north,1,2,3,0
69,north,0,1,2,0
70,south,0,2,1,1
71,south,0,3,2,0
