,Denoised_y_Image,Final_Denoised_y_Image,Maxflow,y_Image
0,"[[0], [0]]","[[1], [0]]",1.0498221245,"[[1], [-1]]"
1,"[[1, 1], [1, 1]]","[[0, 0], [1, 1]]",2.94694210938,"[[1, 0], [-1, -1], [2, 3]]"
2,"[[0, 0, 0], [0, 0, 0]]","[[1, 1, 1], [0, 0, 0]]",3.99676423388,"[[1, 0, -1], [-1, -1, 0], [2, 3, 4]]"
3,"[[1, 1, 1], [1, 1, 1]]","[[0, 0, 0], [1, 1, 1]]",4.50758985765,"[[1, 0, -1, -1], [-1, 1, 0, -1], [2, 3, 4, -1]]"
4,"[[0, 0, 0], [0, 0, 0]]","[[1, 1, 1], [0, 0, 0]]",4.17111762103,"[[1, 0, 1, -1, -1], [-1, 1, 0, -1, -1], [2, 3, 4, -1, -1]]"
5,"[[1, 1, 1, 0], [1, 1, 1, 0]]","[[0, 0, 0, 1], [1, 1, 1, 0]]",5.97364188514,"[[1, 0, 0, 1, -1, -1], [-1, 1, -1, 0, -1, -1], [2, 3, 3, 4, -1, -1]]"
6,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]","[[0, 0, 0, 0, 0], [1, 1, 1, 1, 1]]",7.11805973041,"[[1, 0, 0, 1, -1, -1, -1], [-1, 1, -1, 0, 1, -1, -1], [2, 3, 3, 4, 4, -1, -1]]"
7,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]","[[0, 0, 0, 0, 0], [1, 1, 1, 1, 1]]",7.62888535418,"[[1, 0, 0, 1, -1, -1, -1, -1], [-1, 0, 1, 0, 1, -1, -1, -1], [2, 3, 3, 4, 4, -1, -1, -1]]"
8,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1], [0, 0, 0, 0, 0]]",7.29241311756,"[[1, 0, 0, 1, -1, -1, -1, -1, -1], [0, 0, 1, 0, 1, -1, -1, -1, -1], [2, 3, 3, 4, 4, -1, -1, -1, -1]]"
9,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0]]",8.34223524206,"[[1, 1, 0, 0, 1, -1, -1, -1, -1, -1], [-1, 0, 0, 1, 0, 1, -1, -1, -1, -1], [1, 2, 3, 3, 4, 4, -1, -1, -1, -1]]"
10,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0]]",10.2393552269,"[[1, 0, -1, 0, 0, 1, -1, -1, -1, -1, -1], [-1, 0, 0, 0, 1, 0, 1, -1, -1, -1, -1], [1, 2, 2, 3, 3, 4, 4, -1, -1, -1, -1]]"
11,"[[0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1, 1]]","[[1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1]]",11.9945816307,"[[1, 0, -1, 0, 0, -1, 1, -1, -1, -1, -1, -1], [-1, 0, 0, 0, 1, 1, 0, 1, -1, -1, -1, -1], [1, 2, 2, 3, 3, 3, 4, 4, -1, -1, -1, -1]]"
